objTimestamp,allClassifications,allConfusionMatrices,allAccuracies,allAveragePrecisions,allMethodCalls,timestamp_of_log
2019-04-10T19:19:42.249309,,,,,"plotVectorAndMatrix(self=<scripts.Tools object at 0x00000158099B2978>, vector=array([0.5436409 , 0.50721154]), matrix=array([[0.51536643, 0.48463357],
       [0.46446701, 0.53553299]]), cmap=None, figsize=[15, 10], timestampFilename=True, classes=['female', 'male'], save=True, title='5% DatasetLinearDiscriminantAnalysis', filepath='finalResults/LinearDiscriminantAnalysis.png')",2019-04-10T20:02:03.117926
,,,,,"_drawVector(self=<scripts.Tools object at 0x00000158099B2978>, title='Precision', vector=array([0.5436409 , 0.50721154]), classes=['female', 'male'], cmap=None, figsize=[7, 5], ylabel='')",
,,,,,"plotVectorAndMatrix(self=<scripts.Tools object at 0x00000158099B2978>, vector=array([0.5436409 , 0.50721154]), matrix=array([[0.51536643, 0.48463357],
       [0.46446701, 0.53553299]]), cmap=None, figsize=[15, 10], filepath='precision_and_confusionMatrix.png', classes=['female', 'male'], save=True, title='5% DatasetLinearDiscriminantAnalysis', timestampFilename=True)",
,,,,,"_drawVector(self=<scripts.Tools object at 0x00000158099B2978>, title='Precision', vector=array([0.5436409 , 0.50721154]), classes=['female', 'male'], cmap=None, figsize=[7, 5], ylabel='')",
,,,,,"plotVectorAndMatrix(self=<scripts.Tools object at 0x00000158099B2978>, vector=array([0.5436409 , 0.50721154]), matrix=array([[0.51536643, 0.48463357],
       [0.46446701, 0.53553299]]), cmap=None, figsize=[15, 10], filepath='precision_and_confusionMatrix.png', classes=['female', 'male'], save=True, title='5% DatasetLinearDiscriminantAnalysis', timestampFilename=True)",
,,,,,"_drawVector(self=<scripts.Tools object at 0x00000158099B2978>, title='Precision', vector=array([0.5436409 , 0.50721154]), classes=['female', 'male'], cmap=None, figsize=[7, 5], ylabel='')",
,,,,,"plotVectorAndMatrix(self=<scripts.Tools object at 0x00000158099B2978>, vector=array([0.5436409 , 0.50721154]), matrix=array([[0.51536643, 0.48463357],
       [0.46446701, 0.53553299]]), cmap=None, figsize=[15, 10], filepath='precision_and_confusionMatrix.png', classes=['female', 'male'], save=True, title='5% DatasetLinearDiscriminantAnalysis', timestampFilename=True)",
,,,,,"_drawVector(self=<scripts.Tools object at 0x00000158099B2978>, title='Precision', vector=array([0.5436409 , 0.50721154]), classes=['female', 'male'], cmap=None, figsize=[7, 5], ylabel='')",
objTimestamp,allClassifications,allConfusionMatrices,allAccuracies,allAveragePrecisions,allMethodCalls,timestamp_of_log
2019-04-10T19:19:42.249309,,,,,"plotVectorAndMatrix(self=<scripts.Tools object at 0x00000158099B2978>, vector=array([0.5436409 , 0.50721154]), matrix=array([[0.51536643, 0.48463357],
       [0.46446701, 0.53553299]]), cmap=None, figsize=[15, 10], timestampFilename=True, classes=['female', 'male'], save=True, title='5% DatasetLinearDiscriminantAnalysis', filepath='finalResults/LinearDiscriminantAnalysis.png')",2019-04-10T20:03:05.221245
